"Alcohol Level (ABV)","Winery","Name","Vintage","Country","Region","Colour of Wine","Blend","Grape Types","Ratings","Number of Ratings","Price","Body (Light-Bold)","Tannins (Smooth-Tannic)","Sweetness (Dry-Sweet)","Acidity (Soft-Acidic)","Description","Flavor Notes","Food Pairings","Wine Tastes"
"12.5","Gardet","Origine Brut Champagne","Unknown Vintage","France","Champagne","Sparkling wine","Blend","Chardonnay, Pinot Noir, Pinot Meunier","4.2","187","29.99","20.0","","","20.0","Like many of Gardet's Champagne releases, Origine Brut is dominated by Pinot Noir and Pinot Meunier. These two black grapes offer structure and texture that allows this non-vintage bottle to age, so buy a bottle for now and one for later!Maison Gardet was established in 1895 (hence the label) by entrepreneur and wine merchant Charles Gardet in Epernay, at the very heart of France's Champagne production. By the 1930s, Gardet's sons had joined the family business, moving it to Chigny-les-Roses. Today, Champagne Gardet is owned by the Prieux family, who proudly continue the deep traditions established by its founders, while weaving in 21st Century technology, techniques, and know-how to make their Champagnes better than ever.read more","lemon, citrus, orange p... | 10 mentions ofcitrusnotes; green apple, pear, appl... | 9 mentions oftree fruitnotes; yeast, cheese | 5 mentions ofyeastynotes; brioche, almond | 3 mentions ofageingnotes; minerals, stone | 2 mentions ofearthynotes; vanilla | 1 mentions ofoakynotes; straw | 1 mentions ofvegetalnotes","Beef, Veal, Poultry, Game","lemon, citrus, orange p... | 10 mentions ofcitrusnotes; green apple, pear, appl... | 9 mentions oftree fruitnotes; yeast, cheese | 5 mentions ofyeastynotes; brioche, almond | 3 mentions ofageingnotes; minerals, stone | 2 mentions ofearthynotes; vanilla | 1 mentions ofoakynotes; straw | 1 mentions ofvegetalnotes"
"12.5","Minuty","Château Minuty Rose et Or","2021","France","Côtes de Provence","Rosé wine","Rolle","Unknown Grape Types","4.2","1286","29.99","20.0","","20.0","20.0","No Description Available","peach, melon, apricot | 342mentions oftree fruitnotes; citrus, grapefruit, pin... | 284mentions ofcitrusnotes; strawberry, raspberry, ... | 278mentions ofred fruitnotes; minerals, stone, saline | 107mentions ofearthynotes; cream, cheese, banana | 38mentions ofyeastynotes; tropical, pineapple, ly... | 36mentions oftropicalnotes; rose petal, jasmine, ho... | 28mentions offloralnotes; mint, pepper, savory | 17mentions ofspicesnotes; grass, rhubarb, goosebe... | 15mentions ofvegetalnotes; vanilla, butter, carame... | 14mentions ofoakynotes; almond, biscuit, marzip... | 8mentions ofageingnotes; blueberry, plum | 2mentions ofblack fruitnotes; dried apricot, raisin | 2mentions ofdried fruitnotes","Beef, Veal, Poultry, Game","peach, melon, apricot | 342mentions oftree fruitnotes; citrus, grapefruit, pin... | 284mentions ofcitrusnotes; strawberry, raspberry, ... | 278mentions ofred fruitnotes; minerals, stone, saline | 107mentions ofearthynotes; cream, cheese, banana | 38mentions ofyeastynotes; tropical, pineapple, ly... | 36mentions oftropicalnotes; rose petal, jasmine, ho... | 28mentions offloralnotes; mint, pepper, savory | 17mentions ofspicesnotes; grass, rhubarb, goosebe... | 15mentions ofvegetalnotes; vanilla, butter, carame... | 14mentions ofoakynotes; almond, biscuit, marzip... | 8mentions ofageingnotes; blueberry, plum | 2mentions ofblack fruitnotes; dried apricot, raisin | 2mentions ofdried fruitnotes"
"16.5","Zenato","Amarone della Valpolicella Classico","2018","Italy","Amarone della Valpolicella Classico","Red wine","Blend","Unknown Grape Types","4.4","2427","54.99","20.0","20.0","20.0","20.0","Good luck finding this kind of drinking experience done this wellanywhereelse on the planet besides Italy’s Valpolicella! The Amarone della Valpolicella Classico 2018 is the self-described jewel of Zenato’s entire production, made from a careful selection of top grapes from the Valpolicella Classico area (grown in the historic Sant’Ambrogio township). The blend of traditional Amarone grapes (Corvina, Rondinella, Oseleta, and Croatina) are dried for four months, followed by a slow fermentation with skin contact to produce Amarone’s unmatchable marriage of ripe plum flavors and silky tannin profile. Topped off with 36 months of aging in large-format oak casks, and finally rested in bottles, this red hits the perfect harmony note of power and poise!Italy’s Valpolicella region is renowned for being the birthplace of one of the most unique wine styles in history: Amarone. Produced from dried grapes, those potent, concentrated reds are the biggest wine style on the block in northeastern Italy. These are wines that make no apologies for being big, bold, and beautiful. And whenever Zenato (who Robert Parker’s Wine Advocate called “one of the historic names in Valpolicella”) releases a new Amarone vintage, Italian wine lovers are sure to take notice. Simply put, these guys hit an Amarone ‘home run’ every vintage.read more","chocolate, vanilla, oak | 2864mentions ofoakynotes; plum, blackberry, black... | 1797mentions ofblack fruitnotes; raisin, prune, dried fr... | 1578mentions ofdried fruitnotes; cherry, red fruit, rasp... | 1028mentions ofred fruitnotes; leather, smoke, earthy | 1004mentions ofearthynotes; pepper, licorice, cinna... | 476mentions ofspicesnotes; dried fig, almond, nutt... | 139mentions ofageingnotes; cheese, cream, oil | 133mentions ofyeastynotes; lavender, violet, dried... | 60mentions offloralnotes; tomato, straw, tomato l... | 43mentions ofvegetalnotes; orange, citrus, orange ... | 41mentions ofcitrusnotes; apricot, apple, pear | 38mentions oftree fruitnotes; mango, kiwi, papaya | 11mentions oftropicalnotes","Beef, Veal, Poultry, Game","chocolate, vanilla, oak | 2864mentions ofoakynotes; plum, blackberry, black... | 1797mentions ofblack fruitnotes; raisin, prune, dried fr... | 1578mentions ofdried fruitnotes; cherry, red fruit, rasp... | 1028mentions ofred fruitnotes; leather, smoke, earthy | 1004mentions ofearthynotes; pepper, licorice, cinna... | 476mentions ofspicesnotes; dried fig, almond, nutt... | 139mentions ofageingnotes; cheese, cream, oil | 133mentions ofyeastynotes; lavender, violet, dried... | 60mentions offloralnotes; tomato, straw, tomato l... | 43mentions ofvegetalnotes; orange, citrus, orange ... | 41mentions ofcitrusnotes; apricot, apple, pear | 38mentions oftree fruitnotes; mango, kiwi, papaya | 11mentions oftropicalnotes"
"14.0","Cignomoro","6 Anime Puglia Rosso","2022","Italy","Puglia","Red wine","Blend","Primitivo, Aglianico, Negroamaro, Nero di Troia","4.4","307","29.99","20.0","20.0","20.0","20.0","Discover the magic of Puglia with the 2022 Cignomoro 6 Anime Puglia Rosso, an Italian red blend that's capturing hearts and palates alike. 🇮🇹💕 This top-selling gem offers 4 times the value of similar wines, according to Vivino. 💰👌Paul Neira perfectly captures the essence of this vintage: ""🍇 Cignomoro 6 Anime Puglia Rosso 2022 is an Italian red wine that embodies the spirit of Puglia, known for its rich and flavorful wines. 🍷 Its aroma is a captivating blend of red berries, cherries, and hints of Mediterranean herbs, creating an inviting and aromatic bouquet. 🍒🌿 On the palate, it offers a fresh and lively profile, with flavors of juicy raspberry, red plum, and a touch of spice, all wrapped in a smooth and approachable texture."" 😋🌞With its deep, dark purple color and enticing notes of blackcurrant, blackberry, toasted oak, almonds, chocolate, and coffee, the 6 Anime Puglia Rosso is an absolute delight for the senses. Soft and balanced on the palate with delicate, smooth tannins, it's no wonder Vivino users are raving about this vintage. 🍷💫Don't miss your chance to join our community and fall head over heels for the 2022 Cignomoro 6 Anime Puglia Rosso. 🥰 Click ""Buy Now"" and raise a glass to the captivating spirit of Puglia and the unbeatable value of this top-selling Italian red blend. 🛒🍷 Cheers to discovering new favorites and savoring the flavors of Italy's sun-kissed south!read more","vanilla, oak, tobacco | 256mentions ofoakynotes; plum, blackberry, dark ... | 155mentions ofblack fruitnotes; cherry, raspberry, red ... | 76mentions ofred fruitnotes; leather, cocoa, tar | 35mentions ofearthynotes; cinnamon, pepper, licor... | 24mentions ofspicesnotes; raisin, prune, dried fr... | 24mentions ofdried fruitnotes; toast, molasses, nutty | 9mentions ofageingnotes; violet, lavender, potpo... | 6mentions offloralnotes; hay, earl grey tea, asp... | 4mentions ofvegetalnotes; apple, melon | 2mentions oftree fruitnotes; citrus | 1mentions ofcitrusnotes","Beef, Veal, Poultry, Game","vanilla, oak, tobacco | 256mentions ofoakynotes; plum, blackberry, dark ... | 155mentions ofblack fruitnotes; cherry, raspberry, red ... | 76mentions ofred fruitnotes; leather, cocoa, tar | 35mentions ofearthynotes; cinnamon, pepper, licor... | 24mentions ofspicesnotes; raisin, prune, dried fr... | 24mentions ofdried fruitnotes; toast, molasses, nutty | 9mentions ofageingnotes; violet, lavender, potpo... | 6mentions offloralnotes; hay, earl grey tea, asp... | 4mentions ofvegetalnotes; apple, melon | 2mentions oftree fruitnotes; citrus | 1mentions ofcitrusnotes"
"14.5","Pago de Carraovejas","Tinto","2021","Spain","Ribera del Duero","Red wine","Blend","Tinto Fino, Cabernet Sauvignon, Merlot","4.4","3355","49.99","20.0","20.0","20.0","20.0","Pretty much everything about Pago de Carraovejas’ Tinto 2021 suggests that you’re in for an elegant, textured, plush treat of a red from start to finish. First, there’s the fact that winemakers from two of Ribera del Duero’s most legendary names are involved (and whose wines can sell for up to $700 or more per bottle). There’s the fact that the brand was founded by one of Spain’s top Sommeliers. There’s the fruit itself—Tinto Fino, Cabernet and Merlot—grown on coveted clay-rich limestone soils at nearly 2,000 feet in elevation (exactly where you want to be to balance ripeness and finesse). Finally, a custom fermentation system, designed by Rioja enologist Basilio Izquierdo, ensures every iota of flavor is extracted from grape to wine. Astonishingly, this red somehow doesn’t carry a $100+ price tag! Not yet anyway…(5.0 ★) Vivino user Mazhar K.: “Excellent wine and example of a Ribera - definitely on my wish list - well balanced - lots of oak - earthy for a Ribera with all the usual distinctive flavours of this region”Pago de Carraovejas has become a go-to Ribera del Duero producer, after having been originally envisioned by top Spanish Sommelier Jose Maria Ruiz in 1987. Ruiz was on the hunt for a red that was both elegant and robust enough to serve with one of his favorite dishes; unable to satisfy his need, he decided to create his own! Enlisting the help of none other than Vega Sicilia's Javier Ausas and Pingus’ Patricia Benitez, Ruiz created an instant classic Ribera red blend!read more","oak, vanilla, chocolate | 1733mentions ofoakynotes; blackberry, plum, black... | 962mentions ofblack fruitnotes; leather, smoke, earthy | 636mentions ofearthynotes; cherry, red fruit, rasp... | 528mentions ofred fruitnotes; pepper, licorice, cinna... | 273mentions ofspicesnotes; cheese, cream, yogurt | 58mentions ofyeastynotes; prune, fig, raisin | 58mentions ofdried fruitnotes; toast, almond, chestnut | 46mentions ofageingnotes; violet, lavender, chamo... | 39mentions offloralnotes; grass, hay, rhubarb | 17mentions ofvegetalnotes; marmalade, citrus | 12mentions ofcitrusnotes; stone fruit, apricot, a... | 8mentions oftree fruitnotes; tropical, papaya, mango | 5mentions oftropicalnotes","Beef, Veal, Poultry, Game","oak, vanilla, chocolate | 1733mentions ofoakynotes; blackberry, plum, black... | 962mentions ofblack fruitnotes; leather, smoke, earthy | 636mentions ofearthynotes; cherry, red fruit, rasp... | 528mentions ofred fruitnotes; pepper, licorice, cinna... | 273mentions ofspicesnotes; cheese, cream, yogurt | 58mentions ofyeastynotes; prune, fig, raisin | 58mentions ofdried fruitnotes; toast, almond, chestnut | 46mentions ofageingnotes; violet, lavender, chamo... | 39mentions offloralnotes; grass, hay, rhubarb | 17mentions ofvegetalnotes; marmalade, citrus | 12mentions ofcitrusnotes; stone fruit, apricot, a... | 8mentions oftree fruitnotes; tropical, papaya, mango | 5mentions oftropicalnotes"
"13.5","Finca Los Principes","Rioja Gran Reserva","2013","Spain","Rioja","Red wine","Tempranillo","Tempranillo","4.3","457","19.99","20.0","20.0","20.0","20.0","One thing that weloveabout Rioja is that the producers bear the burden of aging their red wines for us, bottling their wines from barrel at the magic point when they are beautifully ready to drink, but could still benefit from further cellar time if we so chose. All the more reason to love the plummy, balanced, and elegantly spicy 2013 Gran Reserva from Finca Los Principes! This is the top-of-the-line release from this Silver Medal-winning label, at Rioja’s highest red wine quality tier, undergoing the region’s strictest requirements for grape yields, production, and aging. With this offer, you’re getting all of that high-end treatment, along with the concentration and quality that only Tempranillo from Finca Los Principes’s old vines can deliver.Awarded “Golden League Top Producer” in 2016 byDeutsche Wein Marketing, Bodegas Burgo Viejo (the winery behind the award-winning Finca Los Principes label), was founded in 1987 by six families of farmers, true stewards of the land who were dedicated to preserving Rioja’s time-honored winemaking techniques. This bodega can trace its roots back even further, however—to the 1950s, when they were a modest wine cellar selling off their cooperatively farmed grapes to other producers. Today, they are leading a new charge in Spain’s Rioja region, with a new generation coming on board (which will soon make Bodegas Burgo Viejo a company with sixteen families working together!) and young up-and-coming winemaking talents like standout Gorka Etxebarria.read more","oak, tobacco, vanilla | 42mentions ofoakynotes; black cherry, blackberr... | 29mentions ofblack fruitnotes; earthy, leather, smoke | 23mentions ofearthynotes; cherry, red fruit, more... | 20mentions ofred fruitnotes; pepper, licorice | 5mentions ofspicesnotes; citrus | 2mentions ofcitrusnotes; toast | 1mentions ofageingnotes; dried fruit | 1mentions ofdried fruitnotes; rhubarb | 1mentions ofvegetalnotes","Beef, Veal, Poultry, Game","oak, tobacco, vanilla | 42mentions ofoakynotes; black cherry, blackberr... | 29mentions ofblack fruitnotes; earthy, leather, smoke | 23mentions ofearthynotes; cherry, red fruit, more... | 20mentions ofred fruitnotes; pepper, licorice | 5mentions ofspicesnotes; citrus | 2mentions ofcitrusnotes; toast | 1mentions ofageingnotes; dried fruit | 1mentions ofdried fruitnotes; rhubarb | 1mentions ofvegetalnotes"
"14.5","Santa Giulia","Brunello di Montalcino","2019","Italy","Brunello di Montalcino","Red wine","Sangiovese","Unknown Grape Types","4.3","90","39.99","20.0","20.0","20.0","20.0","You’re getting all the classic Brunello trappings of sweet red fruit and spices, from a critic-favorite winery in a 5/5 vintage. And not only that, but from“One of the Top Eight or Ten Brunello Vintages of All Time”,According to Vinous — while our small allocation lasts!”Powerfull, long finish full mouth of ripe dark fruit, oak and cherry. Power from the pepper leather and tobacco with medium+ tannins. Probably even better after aging a bit more.”- Marcelread more","oak, vanilla, tobacco | 191mentions ofoakynotes; cherry, red fruit, stra... | 149mentions ofred fruitnotes; leather, earthy, smoke | 136mentions ofearthynotes; plum, black cherry, bla... | 79mentions ofblack fruitnotes; pepper, cinnamon, licor... | 40mentions ofspicesnotes; cheese, cream, yeast | 14mentions ofyeastynotes; violet, lavender, rose ... | 11mentions offloralnotes; orange, citrus, lemon | 8mentions ofcitrusnotes; prune, raisin, fig | 7mentions ofdried fruitnotes; almond, brown sugar, ma... | 6mentions ofageingnotes; tomato, bell pepper | 5mentions ofvegetalnotes; pear | 1mentions oftree fruitnotes; bubblegum | 1mentions oftropicalnotes","Beef, Veal, Poultry, Game","oak, vanilla, tobacco | 191mentions ofoakynotes; cherry, red fruit, stra... | 149mentions ofred fruitnotes; leather, earthy, smoke | 136mentions ofearthynotes; plum, black cherry, bla... | 79mentions ofblack fruitnotes; pepper, cinnamon, licor... | 40mentions ofspicesnotes; cheese, cream, yeast | 14mentions ofyeastynotes; violet, lavender, rose ... | 11mentions offloralnotes; orange, citrus, lemon | 8mentions ofcitrusnotes; prune, raisin, fig | 7mentions ofdried fruitnotes; almond, brown sugar, ma... | 6mentions ofageingnotes; tomato, bell pepper | 5mentions ofvegetalnotes; pear | 1mentions oftree fruitnotes; bubblegum | 1mentions oftropicalnotes"
"37.0","Bodegas Loli Casado","Jaun de Alzate Gran Reserva","2010","Spain","Rioja Alavesa","Red wine","Blend","Tempranillo, Mazuelo, Graciano","4.3","108","21.99","20.0","20.0","20.0","20.0","Named for the 1922 novel by Pío Baroja, Loli Casado’s “Juan de Alzata” Gran Reserva is a Rioja red that’s just as colorful, characterful, and charismatic as that book’s nobleman protagonist. Farmed from Rioja Alavesa vineyards that have been in the same family for three generations, this perfectly cellared 2010 release comes ready to drink NOW. That's the top-of-the-line Rioja red category, aged to perfection, from a legendary vintage (probably the best since 2005 according toDecanter), made by an iconic producer—all for a song.Bodegas Loli Casado is classic Rioja—a family-owned Spanish stalwart, with more than a century of history and experience farming and winemaking in the region, and now in its third generation. From the vines first planted by their grandfather, Loli Casado offer a wide variety of wines across their Jaun de Alzate and Polus brands, complemented by olive oil made in the same way as their wines: from their estate lands, crafted painstakingly with passion, tradition, and modern sensibility.read more","oak, tobacco, vanilla | 54mentions ofoakynotes; black cherry, cassis, r... | 34mentions ofblack fruitnotes; leather, earthy, smoke | 22mentions ofearthynotes; cherry, red fruit, rasp... | 15mentions ofred fruitnotes; pepper, licorice, black... | 13mentions ofspicesnotes; violet | 1mentions offloralnotes; prune | 1mentions ofdried fruitnotes","Beef, Veal, Poultry, Game","oak, tobacco, vanilla | 54mentions ofoakynotes; black cherry, cassis, r... | 34mentions ofblack fruitnotes; leather, earthy, smoke | 22mentions ofearthynotes; cherry, red fruit, rasp... | 15mentions ofred fruitnotes; pepper, licorice, black... | 13mentions ofspicesnotes; violet | 1mentions offloralnotes; prune | 1mentions ofdried fruitnotes"
"15.5","Degani","Amarone della Valpolicella Classico","2017","Italy","Amarone della Valpolicella Classico","Red wine","Blend","Corvina, Rondinella","4.3","256","39.99","20.0","20.0","20.0","20.0","Nestled in Valgatara within the picturesque Valpolicella Classico region, Aldo and Luca Degani operate a modest winery in their unassuming cellar. Since its establishment in 1900, the winery has focused on crafting a limited selection of five wines, producing around 40,000 bottles annually. Embracing traditional methods, the Degani brothers emphasize the importance of working in harmony with nature to achieve exceptional quality. Their estate spans 6 hectares of vineyards in Marano and Fumane, meticulously replanted over a 25-year period.read more","cherry, red fruit, red ... | 90mentions ofred fruitnotes; vanilla, chocolate, tob... | 79mentions ofoakynotes; plum, blackberry, black... | 69mentions ofblack fruitnotes; raisin, fig, prune | 53mentions ofdried fruitnotes; leather, cocoa, earthy | 37mentions ofearthynotes; licorice, cinnamon, pep... | 27mentions ofspicesnotes; cheese, cream, campfire | 6mentions ofyeastynotes; tomato, rhubarb, green ... | 5mentions ofvegetalnotes; toast, dried fig, brown... | 4mentions ofageingnotes; violet, perfume, lavend... | 3mentions offloralnotes","Beef, Veal, Poultry, Game","cherry, red fruit, red ... | 90mentions ofred fruitnotes; vanilla, chocolate, tob... | 79mentions ofoakynotes; plum, blackberry, black... | 69mentions ofblack fruitnotes; raisin, fig, prune | 53mentions ofdried fruitnotes; leather, cocoa, earthy | 37mentions ofearthynotes; licorice, cinnamon, pep... | 27mentions ofspicesnotes; cheese, cream, campfire | 6mentions ofyeastynotes; tomato, rhubarb, green ... | 5mentions ofvegetalnotes; toast, dried fig, brown... | 4mentions ofageingnotes; violet, perfume, lavend... | 3mentions offloralnotes"
"15.0","Brunelli","Amarone della Valpolicella Classico","2021","Italy","Amarone della Valpolicella Classico","Red wine","Blend","Corvina, Rondinella, Corvinone","4.3","146","40.0","20.0","20.0","20.0","20.0","No Description Available","oak, vanilla, chocolate | 313mentions ofoakynotes; cherry, red fruit, rasp... | 181mentions ofred fruitnotes; plum, blackberry, black... | 115mentions ofblack fruitnotes; raisin, dried fruit, pr... | 86mentions ofdried fruitnotes; leather, smoke, cocoa | 84mentions ofearthynotes; licorice, pepper, cinna... | 66mentions ofspicesnotes; brown sugar, toast, wal... | 16mentions ofageingnotes; cheese, cream, campfire | 12mentions ofyeastynotes; peach, apple, pear | 5mentions oftree fruitnotes; perfume, violet | 5mentions offloralnotes; hay, straw, grass | 3mentions ofvegetalnotes; marmalade, orange | 2mentions ofcitrusnotes; mango | 2mentions oftropicalnotes","Beef, Veal, Poultry, Game","oak, vanilla, chocolate | 313mentions ofoakynotes; cherry, red fruit, rasp... | 181mentions ofred fruitnotes; plum, blackberry, black... | 115mentions ofblack fruitnotes; raisin, dried fruit, pr... | 86mentions ofdried fruitnotes; leather, smoke, cocoa | 84mentions ofearthynotes; licorice, pepper, cinna... | 66mentions ofspicesnotes; brown sugar, toast, wal... | 16mentions ofageingnotes; cheese, cream, campfire | 12mentions ofyeastynotes; peach, apple, pear | 5mentions oftree fruitnotes; perfume, violet | 5mentions offloralnotes; hay, straw, grass | 3mentions ofvegetalnotes; marmalade, orange | 2mentions ofcitrusnotes; mango | 2mentions oftropicalnotes"
"15.0","Casa Vinicola Bennati","Amarone della Valpolicella","2020","Italy","Amarone della Valpolicella","Red wine","Blend","Corvina, Rondinella, Molinara","4.3","144","29.99","20.0","20.0","20.0","20.0","Experience Amarone at its finest with the 2020 Casa Vinicola Bennati, a gem that's captivating Vivino users with its luscious red fruit, bright acidity, and silk-tastic tannins. 🍷💫 This lively Valpolicella jewel is your ticket to Amarone perfection without the hefty price tag. 💰👌Vivino reviewer Steve R. declares it ""Amarone the Way it Should Be,"" while Steve W. raves, ""Deep purple in appearance. Full bodied; dry to semi-dry wine with mild-medium tannins and medium-high acidity. Aromas of black fruit, raspberry, chocolate, vanilla, and leather on the nose. Jammy and rich with slight earthiness. Balanced flavors of raspberry, tart cherry, blackberry, plum, spice, and pepper culminate into a long lush finish."" 😋🍒Crafted from a blend of Corvina, Rondinella, and Molinara grapes that thrive in the calcareous limestone soils of Valpolicella, this 2020 release effortlessly rivals renowned Amarones like Bertani and Tommasi, which command $50 or more per bottle. 💸🏆Don't miss your chance to savor the magic of Casa Vinicola Bennati's 2020 Amarone della Valpolicella. 🍷✨ Click ""Buy Now"" and raise a glass to the Bennati family's enduring passion and the unparalleled joy of discovering an Amarone that over-delivers on quality and flavor. 🛒🥂read more","chocolate, vanilla, tob... | 266mentions ofoakynotes; plum, blackberry, black... | 221mentions ofblack fruitnotes; cherry, red fruit, rasp... | 161mentions ofred fruitnotes; raisin, prune, dried fr... | 91mentions ofdried fruitnotes; leather, earthy, smoke | 86mentions ofearthynotes; pepper, licorice, cinna... | 54mentions ofspicesnotes; cream, banana, cheese | 15mentions ofyeastynotes; toast, brown sugar, dri... | 12mentions ofageingnotes; violet, rose petal, pot... | 8mentions offloralnotes; apple, stone fruit | 5mentions oftree fruitnotes; tomato, rhubarb, red be... | 4mentions ofvegetalnotes; orange, citrus | 3mentions ofcitrusnotes; bubblegum | 2mentions oftropicalnotes","Beef, Veal, Poultry, Game","chocolate, vanilla, tob... | 266mentions ofoakynotes; plum, blackberry, black... | 221mentions ofblack fruitnotes; cherry, red fruit, rasp... | 161mentions ofred fruitnotes; raisin, prune, dried fr... | 91mentions ofdried fruitnotes; leather, earthy, smoke | 86mentions ofearthynotes; pepper, licorice, cinna... | 54mentions ofspicesnotes; cream, banana, cheese | 15mentions ofyeastynotes; toast, brown sugar, dri... | 12mentions ofageingnotes; violet, rose petal, pot... | 8mentions offloralnotes; apple, stone fruit | 5mentions oftree fruitnotes; tomato, rhubarb, red be... | 4mentions ofvegetalnotes; orange, citrus | 3mentions ofcitrusnotes; bubblegum | 2mentions oftropicalnotes"
"15.5","Juan Gil","Jumilla Blue Label","2021","Spain","Jumilla","Red wine","Mourvedre","Unknown Grape Types","4.3","945","40.0","20.0","20.0","20.0","20.0","No Description Available","oak, vanilla, chocolate | 1465mentions ofoakynotes; blackberry, plum, black... | 997mentions ofblack fruitnotes; leather, earthy, smoke | 509mentions ofearthynotes; cherry, red fruit, rasp... | 288mentions ofred fruitnotes; pepper, licorice, cinna... | 286mentions ofspicesnotes; prune, raisin, fig | 81mentions ofdried fruitnotes; cheese, cream, banana | 64mentions ofyeastynotes; toast, almond, nutty | 51mentions ofageingnotes; violet, lavender, lilac | 41mentions offloralnotes; apple, peach, apricot | 22mentions oftree fruitnotes; tomato, straw, sun-drie... | 9mentions ofvegetalnotes; citrus, orange zest, or... | 7mentions ofcitrusnotes; guava, pineapple, mango | 4mentions oftropicalnotes","Beef, Veal, Poultry, Game","oak, vanilla, chocolate | 1465mentions ofoakynotes; blackberry, plum, black... | 997mentions ofblack fruitnotes; leather, earthy, smoke | 509mentions ofearthynotes; cherry, red fruit, rasp... | 288mentions ofred fruitnotes; pepper, licorice, cinna... | 286mentions ofspicesnotes; prune, raisin, fig | 81mentions ofdried fruitnotes; cheese, cream, banana | 64mentions ofyeastynotes; toast, almond, nutty | 51mentions ofageingnotes; violet, lavender, lilac | 41mentions offloralnotes; apple, peach, apricot | 22mentions oftree fruitnotes; tomato, straw, sun-drie... | 9mentions ofvegetalnotes; citrus, orange zest, or... | 7mentions ofcitrusnotes; guava, pineapple, mango | 4mentions oftropicalnotes"
"14.0","Tenuta Santodeno","Sangiovese Appassimento","2023","Italy","Romagna","Red wine","Sangiovese","Sangiovese","4.3","143","16.99","20.0","20.0","20.0","20.0","No Description Available","blackberry, dark fruit,... | 446mentions ofblack fruitnotes; vanilla, oak, chocolate | 320mentions ofoakynotes; cherry, red fruit, rasp... | 277mentions ofred fruitnotes; leather, earthy, wax | 92mentions ofearthynotes; raisin, prune, fig | 56mentions ofdried fruitnotes; pepper, cinnamon, licor... | 52mentions ofspicesnotes; cheese, cream, banana | 32mentions ofyeastynotes; almond, marzipan, nutty | 14mentions ofageingnotes; tomato, tomato leaf, bi... | 11mentions ofvegetalnotes; orange, grapefruit, mar... | 6mentions ofcitrusnotes; apple, apricot, pear | 6mentions oftree fruitnotes; violet | 3mentions offloralnotes","Beef, Veal, Poultry, Game","blackberry, dark fruit,... | 446mentions ofblack fruitnotes; vanilla, oak, chocolate | 320mentions ofoakynotes; cherry, red fruit, rasp... | 277mentions ofred fruitnotes; leather, earthy, wax | 92mentions ofearthynotes; raisin, prune, fig | 56mentions ofdried fruitnotes; pepper, cinnamon, licor... | 52mentions ofspicesnotes; cheese, cream, banana | 32mentions ofyeastynotes; almond, marzipan, nutty | 14mentions ofageingnotes; tomato, tomato leaf, bi... | 11mentions ofvegetalnotes; orange, grapefruit, mar... | 6mentions ofcitrusnotes; apple, apricot, pear | 6mentions oftree fruitnotes; violet | 3mentions offloralnotes"
"16.0","Morca","Godina Garnacha","2021","Spain","Campo de Borja","Red wine","Garnacha","Garnacha","4.3","359","32.99","20.0","20.0","20.0","20.0","No Description Available","oak, vanilla, chocolate | 243mentions ofoakynotes; plum, blackberry, black... | 175mentions ofblack fruitnotes; cherry, raspberry, red ... | 86mentions ofred fruitnotes; earthy, leather, smoke | 55mentions ofearthynotes; pepper, licorice, cinna... | 53mentions ofspicesnotes; fig, prune | 10mentions ofdried fruitnotes; violet, perfume, lavend... | 10mentions offloralnotes; cream, cheese | 8mentions ofyeastynotes; nutty, walnut, carob | 4mentions ofageingnotes; orange, pink grapefruit... | 4mentions ofcitrusnotes; apple | 1mentions oftree fruitnotes","Beef, Veal, Poultry, Game","oak, vanilla, chocolate | 243mentions ofoakynotes; plum, blackberry, black... | 175mentions ofblack fruitnotes; cherry, raspberry, red ... | 86mentions ofred fruitnotes; earthy, leather, smoke | 55mentions ofearthynotes; pepper, licorice, cinna... | 53mentions ofspicesnotes; fig, prune | 10mentions ofdried fruitnotes; violet, perfume, lavend... | 10mentions offloralnotes; cream, cheese | 8mentions ofyeastynotes; nutty, walnut, carob | 4mentions ofageingnotes; orange, pink grapefruit... | 4mentions ofcitrusnotes; apple | 1mentions oftree fruitnotes"
